scenario_name,batch_number,sim,ir100.B_ly,ir100.H_ly,ir100.W_ly,prepElig.B_ly,prepElig.H_ly,prepElig.W_ly,i.prev.B_ly,i.prev.H_ly,i.prev.W_ly,i.prev.dx.B_ly,i.prev.dx.H_ly,i.prev.dx.W_ly,incid.B_cml,incid.H_cml,incid.W_cml
t3_0_dumb_base,4,6,1.5215683920320218,0.46389295086298965,0.2899281276856379,23193.46153846154,3047.3076923076924,30798.03846153846,0.2992229526955713,0.1027632106256324,0.06112235820113787,0.26757263997876807,0.08786136239705633,0.055833767749711924,6846,259,1394
t3_0_dumb_base,4,7,1.610547417161654,0.37407364392508424,0.26892381422515754,22999.173076923078,2917.5576923076924,30901.44230769231,0.3033069549436733,0.11086111024545806,0.06283299613779326,0.27104357282790753,0.09559504292884236,0.05764805697076139,6897,250,1386
t3_0_dumb_base,4,8,1.5462368026437796,0.4705277380364063,0.24905426907910114,23334.03846153846,2997.4615384615386,30830.346153846152,0.2929747399680817,0.10264398165130324,0.05645187423977373,0.26258834837675343,0.08984817844606902,0.051264424548574744,6737,223,1243
t3_0_dumb_base,5,1,1.5665119751507268,0.5088500753489211,0.21831414581935793,23501.903846153848,3021.076923076923,30921.596153846152,0.2893259277920869,0.09642500670895679,0.05603744297826273,0.2585354457451776,0.0849934625208316,0.05144320835577374,6571,214,1191
t3_0_dumb_base,5,2,1.6479137203809813,0.5066681541692137,0.28821341531539,22846.25,3013.846153846154,30450.30769230769,0.30229992645815174,0.10714339912689363,0.06098382854117031,0.2695011431578814,0.0963329410979081,0.05515018344307764,7011,232,1294
t3_0_dumb_base,5,3,1.4795873188078104,0.5385959847871904,0.2213759581010944,23471.96153846154,3073.423076923077,30713.365384615383,0.28865356773919654,0.09766517603385927,0.05986038181173309,0.2590906466775262,0.08446517061080666,0.05472160626644626,6656,228,1327
t3_0_dumb_base,5,4,1.6587633079526294,0.376545957029019,0.2610932558016398,23292.423076923078,3098.846153846154,30489.48076923077,0.2967248374273559,0.09477081876640668,0.06295829066281905,0.26514034685572285,0.08494901594615106,0.057661096235249745,6954,223,1433
t3_0_dumb_base,5,5,1.6865914207236548,0.5216681761076091,0.25832500560816063,23075.44230769231,2975.096153846154,30642.326923076922,0.2996421187340024,0.09960258443048776,0.05836463106436216,0.2683920938184797,0.08746032564105886,0.05327105951909845,6828,209,1298
t3_0_dumb_base,5,6,1.6279661737825404,0.32269273009264265,0.2679843431965886,23372.71153846154,3097.269230769231,30772.26923076923,0.2937695182827479,0.09422583760555076,0.059187112761549976,0.26238082963793,0.0821522486182439,0.054357270568868604,6814,218,1313
t3_0_dumb_base,5,7,1.7233016021141039,0.37829659151374523,0.270647868759641,22989.365384615383,3030.9615384615386,30744.25,0.29817723647674343,0.09108181616310292,0.05995973699733736,0.26677454293921676,0.0823650616806544,0.055018523953669365,6849,185,1296
